1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1
1,1,26,8,8,8,8,34,8,8,8,8,26,8,34,8,8,26,8,1,1
1,1,8,8,8,8,8,8,8,26,8,8,8,8,8,8,8,8,8,26,1
1,1,8,8,8,8,8,8,8,8,34,8,8,8,8,8,8,8,8,1,1
1,26,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,26,34,1
1,1,8,8,8,8,8,8,239,8,8,26,8,8,8,8,8,8,239,1,1
1,1,3,8,8,8,8,8,247,8,8,8,3,8,8,8,8,8,247,1,1
1,1,8,8,8,8,8,8,8,26,8,8,8,8,34,8,8,26,8,1,1
1,26,8,34,8,8,8,8,8,9,9,9,9,9,9,9,9,34,8,26,1
1,1,8,8,223,223,223,3,8,26,9,9,9,9,9,9,9,8,8,1,1
1,1,26,8,4,4,4,4,8,9,9,9,9,9,9,9,9,26,8,34,1
1,1,8,8,18,18,18,18,8,8,9,9,9,9,9,9,9,8,8,1,1
1,1,8,8,8,8,8,8,26,8,9,9,9,9,9,9,9,8,8,26,1
1,1,34,8,8,26,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1
1,1,1,1,290,291,291,292,8,34,223,223,223,223,3,223,223,34,8,1,1
1,1,1,1,298,299,299,300,8,8,4,4,4,4,4,8,8,8,8,26,1
1,26,1,1,298,299,299,300,26,8,18,18,18,18,18,34,8,8,8,1,1
1,1,1,1,298,299,299,300,1,1,1,1,1,1,1,1,1,1,1,1,1
